
---------- Begin Simulation Statistics ----------
simSeconds                                   6.476146                       # Number of seconds simulated (Second)
simTicks                                 6476145512500                       # Number of ticks simulated (Tick)
finalTick                                6476145512500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3143.27                       # Real time elapsed on the host (Second)
hostTickRate                               2060324141                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     798888                       # Number of bytes of host memory used (Byte)
simInsts                                   1119729190                       # Number of instructions simulated (Count)
simOps                                     1119729190                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   356231                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     356231                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          6250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1036183283                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.925387                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.080629                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1196635834                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   802009                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1179432956                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 778348                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             77708652                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          37465507                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                7031                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1009729618                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.168068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.714807                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 558734787     55.34%     55.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 159896799     15.84%     71.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  86993034      8.62%     79.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  81389918      8.06%     87.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  61241390      6.07%     93.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  31237545      3.09%     97.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  17735842      1.76%     98.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6190426      0.61%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6309877      0.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1009729618                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1542473      6.63%      6.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                2453286     10.54%     17.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             82101      0.35%     17.52% # attempts to use FU when none available (Count)
