
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000089                       # Number of seconds simulated (Second)
simTicks                                     89291000                       # Number of ticks simulated (Tick)
finalTick                                    89291000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.66                       # Real time elapsed on the host (Second)
hostTickRate                                135081855                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     696656                       # Number of bytes of host memory used (Byte)
simInsts                                        52806                       # Number of instructions simulated (Count)
simOps                                         108925                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79868                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     164744                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           178583                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.381869                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.295694                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          163789                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         148179                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    122                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                54791                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             95097                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              136727                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.083758                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.860970                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     90267     66.02%     66.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     10908      7.98%     74.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      9556      6.99%     80.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      7203      5.27%     86.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      6906      5.05%     91.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      5635      4.12%     95.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      3809      2.79%     98.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1647      1.20%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       796      0.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                136727                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     985     72.80%     72.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     72.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     72.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     72.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     72.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     72.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     72.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     72.80% # attempts to use FU when none available (Count)
