
---------- Begin Simulation Statistics ----------
simSeconds                                   1.156078                       # Number of seconds simulated (Second)
simTicks                                 1156078187500                       # Number of ticks simulated (Tick)
finalTick                                1156078187500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    574.75                       # Real time elapsed on the host (Second)
hostTickRate                               2011428847                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671792                       # Number of bytes of host memory used (Byte)
simInsts                                    309027121                       # Number of instructions simulated (Count)
simOps                                      309027121                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   537668                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     537668                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          6250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        184972511                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.598564                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.670665                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       325569340                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      243                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      315917789                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2932                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             16542461                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14698621                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  42                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           184971216                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.707929                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.734914                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  60889320     32.92%     32.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  42644884     23.05%     55.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27313361     14.77%     70.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  18081196      9.78%     80.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  23808287     12.87%     93.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7087124      3.83%     97.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2901289      1.57%     98.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1639947      0.89%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    605808      0.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             184971216                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  206624      5.64%      5.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     30      0.00%      5.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.64% # attempts to use FU when none available (Count)
